Dates,Abs_return1,Signals1,Abs_return3,Signals3,Abs_return5,Signals5,Abs_return7,Signals7,Abs_return10,Signals10,Abs_return15,Signals15,Abs_return20,Signals20,Abs_return25,Signals25,Abs_return30,Signals30
2002-12-06,0.01760000000000006,1,0.02580645161290329,1,-0.03269961977186309,0,0.01760000000000006,1,0.005533596837944632,1,-0.05216095380029806,0,-0.04719101123595504,0,-0.059171597633136064,0,-0.04719101123595504,0
2002-12-09,-0.01650943396226423,0,-0.026459143968871612,0,-0.022656250000000044,0,-0.04503816793893134,0,0.011317704122878025,1,-0.05227272727272725,0,-0.07057949479940573,0,-0.10642857142857143,0,-0.08686131386861307,0
2002-12-10,0.005595523581135131,1,0.006399999999999961,1,0.014516129032257963,1,-0.04334600760456275,0,0.006399999999999961,1,-0.041158536585365835,0,-0.041888804265041935,0,-0.08972503617945005,0,-0.05555555555555558,0
2002-12-11,0.0119236883942766,1,0.0007861635220125507,1,-0.009338521400778177,0,-0.005468750000000022,0,0.018399999999999972,1,-0.020769230769230762,0,-0.03193916349809889,0,-0.0802023121387283,0,-0.0632818248712288,0
2002-12-12,0.0109976433621366,1,0.02877697841726623,1,0.02959999999999985,1,0.03790322580645156,1,-0.017557251908396965,0,-0.010000000000000009,0,-0.03378378378378388,0,-0.053676470588235325,0,-0.06400000000000006,0
2002-12-13,-0.059052059052059014,0,-0.037360890302066796,0,-0.04795597484276737,0,-0.05758754863813231,0,-0.07908745247148297,0,-0.04268774703557321,0,-0.09761549925484359,0,-0.09288389513108619,0,-0.10428994082840237,0
2002-12-16,0.04706853839801828,1,-0.00392772977219169,0,0.01358912869704243,1,0.014399999999999968,1,-0.009375000000000022,0,0.025060630557801167,1,-0.039393939393939315,0,-0.05794947994056476,0,-0.0942857142857143,0
2002-12-17,-0.01104100946372244,0,-0.02564102564102566,0,-0.0031796502384738856,0,-0.014150943396226578,0,0.011290322580645107,1,0.0031999999999998696,1,-0.044207317073170715,0,-0.04493526275704507,0,-0.09261939218523885,0
2002-12-18,-0.003987240829345984,0,0.03137902559867878,1,-0.01885310290652009,0,-0.0015987210231813709,0,-0.028015564202334642,0,-0.0008000000000000229,0,-0.03923076923076918,0,-0.050190114068441094,0,-0.0975433526011561,0
2002-12-19,0.0048038430744596905,1,-0.010252365930599305,0,-0.024864024864024725,0,-0.0023847376788552754,0,0.0040000000000000036,1,-0.041984732824427384,0,-0.0346153846153846,0,-0.05780780780780781,0,-0.07720588235294112,0
2002-12-20,-0.0462151394422311,0,-0.0454545454545453,0,-0.01156069364161838,0,-0.05970149253731338,0,-0.05896226415094341,0,-0.08973384030418252,0,-0.05375494071146247,0,-0.10804769001490311,0,-0.10337078651685383,0
2002-12-23,-0.007518796992481147,0,-0.048839071257005595,0,-0.06309148264984221,0,-0.07692307692307676,0,-0.050359712230215736,0,-0.07187500000000002,0,-0.039611964430072644,0,-0.09999999999999987,0,-0.11738484398216942,0
2002-12-24,-0.005892255892255949,0,-0.05896414342629486,0,-0.05821371610845283,0,-0.024772914946325275,0,-0.061208267090619994,0,-0.04758064516129035,0,-0.055199999999999916,0,-0.09984756097560965,0,-0.10053313023610055,0
2002-12-26,0.01608806096528359,1,0.0025062656641603454,1,-0.039231385108086436,0,-0.05362776025236593,0,-0.05734485467399841,0,-0.06614785992217898,0,-0.040000000000000036,0,-0.07692307692307687,0,-0.0874524714828897,0
2002-12-27,-0.008333333333333304,0,0.0016835016835017313,1,-0.05179282868525903,0,-0.05103668261562988,0,-0.07536907536907533,0,-0.04799999999999993,0,-0.09160305343511443,0,-0.08461538461538454,0,-0.10660660660660659,0
2002-12-30,-0.03361344537815125,0,-0.026248941574936513,0,-0.039264828738513,0,-0.0792634107285829,0,-0.05037159372419486,0,-0.09591194968553463,0,-0.12547528517110274,0,-0.09090909090909094,0,-0.143070044709389,0
2002-12-31,0.00521739130434784,1,-0.036666666666666625,0,-0.026936026936026924,0,-0.07888446215139444,0,-0.08832807570977907,0,-0.075939248601119,0,-0.09687500000000004,0,-0.06548100242522226,0,-0.12424242424242415,0
2003-01-02,0.07093425605536341,1,0.04033613445378159,1,0.04826418289585099,1,0.0342522974101922,1,-0.012759170653907415,0,-0.015898251192368762,0,-0.001612903225806428,0,-0.009599999999999942,0,-0.05640243902439013,0
2003-01-03,-0.04038772213247177,0,0.03304347826086973,1,-0.009999999999999898,0,0.0,1,-0.048839071257005595,0,-0.0667714061272584,0,-0.07548638132295715,0,-0.04959999999999998,0,-0.08615384615384614,0
2003-01-06,0.021043771043770976,1,0.049307958477508684,1,0.019327731092436906,1,0.02709568162574083,1,-0.033466135458167345,0,-0.057498057498057364,0,-0.02959999999999996,0,-0.07404580152671747,0,-0.06692307692307686,0
2003-01-07,0.0016488046166529546,1,-0.018578352180937063,0,0.0565217391304349,1,0.012499999999999956,1,0.015037593984962294,1,0.003303055326176807,1,-0.044811320754717054,0,-0.07604562737642584,0,-0.03952569169960474,0
2003-01-08,-0.0024691358024692134,0,0.02020202020202011,1,0.04844290657439432,1,0.018487394957983128,1,0.02020202020202011,1,-0.04416403785488965,0,-0.031175059952038398,0,-0.05312500000000009,0,-0.0202101859337106,0
2003-01-09,-0.0033003300330032292,0,-0.004122011541632387,0,-0.024232633279483107,0,0.050434782608695716,1,0.022861981371718798,1,-0.03668261562998398,0,-0.03974562798092207,0,-0.02580645161290329,0,-0.03359999999999996,0
2003-01-10,-0.023178807947019764,0,-0.028806584362139898,0,-0.006734006734006703,0,0.02076124567474058,1,-0.016666666666666607,0,-0.055244195356285,0,-0.07305577376276506,0,-0.08171206225680927,0,-0.05599999999999994,0
2003-01-13,0.003389830508474523,1,-0.02310231023102305,0,-0.02390766694146751,0,-0.043618739903069526,0,-0.005042016806722782,0,-0.05657370517928295,0,-0.08003108003107995,0,-0.05279999999999996,0,-0.09618320610687026,0
2003-01-14,-0.0016891891891891442,0,-0.021523178807946963,0,-0.02716049382716046,0,-0.005050505050505083,0,0.027826086956521667,1,-0.01253132832080206,0,-0.023947151114781073,0,-0.07075471698113212,0,-0.10114068441064639,0
2003-01-15,-0.027072758037225086,0,-0.025423728813559365,0,-0.05115511551155105,0,-0.051937345424567294,0,-0.005190311418685201,0,-0.03198653198653201,0,-0.09305993690851733,0,-0.08073541167066345,0,-0.1015625,0
2003-01-16,-0.01565217391304341,0,-0.04391891891891886,0,-0.0629139072847682,0,-0.06831275720164609,0,-0.08562197092084012,0,-0.041490262489415786,0,-0.09728867623604454,0,-0.10015898251192368,0,-0.08709677419354844,0
2003-01-17,0.01590106007067127,1,-0.027072758037225086,0,-0.025423728813559365,0,-0.05115511551155105,0,-0.03198653198653201,0,-0.04166666666666663,0,-0.0792634107285829,0,-0.0966221523959152,0,-0.10505836575875482,0
2003-01-21,0.004347826086956497,1,0.004347826086956497,1,-0.0244932432432432,0,-0.04387417218543044,0,-0.04781533388293491,0,-0.02941176470588236,0,-0.07968127490039845,0,-0.10256410256410242,0,-0.07599999999999996,0
2003-01-22,-0.0043290043290044045,0,0.01590106007067127,1,-0.027072758037225086,0,-0.025423728813559365,0,-0.053497942386831254,0,0.0,1,-0.039264828738513,0,-0.05037159372419486,0,-0.09591194968553463,0
2003-01-23,0.05217391304347818,1,0.05217391304347818,1,0.05217391304347818,1,0.02195945945945943,1,-0.0016501650165016146,0,0.04671280276816603,1,0.01851851851851838,1,-0.045741324921135695,0,-0.03277378097521988,0
2003-01-24,-0.017355371900826366,0,0.029437229437229373,1,0.05035335689045928,1,0.005922165820642977,1,-0.01572847682119205,0,-0.039579967689822304,0,0.006773920406435208,1,-0.05183413078149912,0,-0.054848966613672445,0
2003-01-27,-0.056349873843566045,0,-0.024347826086956514,0,-0.024347826086956514,0,-0.024347826086956514,0,-0.04915254237288136,0,-0.05555555555555558,0,-0.06499999999999995,0,-0.10168134507606086,0,-0.11861743912018852,0
2003-01-28,0.04723707664884125,1,-0.02892561983471076,0,0.017316017316017174,1,0.03798586572438167,1,-0.007601351351351315,0,-0.031327287716405694,0,-0.012605042016806789,0,-0.06374501992031878,0,-0.08702408702408693,0
2003-01-29,0.025531914893617058,1,0.01345668629100083,1,0.04782608695652191,1,0.04782608695652191,1,0.019458544839255465,1,-0.008230452674897082,0,0.04782608695652191,1,0.006683375104427736,1,-0.004954582989264988,0
2003-01-30,-0.03568464730290466,0,0.035650623885917776,1,-0.03966942148760333,0,0.006060606060605878,1,0.01043478260869568,1,-0.041254125412541254,0,0.00519031141868509,1,-0.021885521885522063,0,-0.08359621451104104,0
2003-01-31,0.019793459552495785,1,0.008510638297872353,1,-0.003364171572750263,0,0.0304347826086957,1,0.04681978798586561,1,-0.019039735099337762,0,-0.04281098546042017,0,0.003386960203217493,1,-0.055023923444976086,0
2003-02-03,-0.005907172995780585,0,-0.02240663900414952,0,0.04991087344028511,1,-0.026446280991735516,0,0.024347826086956514,1,-0.0016949152542373724,0,-0.008417508417508546,0,-0.018333333333333424,0,-0.05684547638110493,0
2003-02-04,0.02461799660441444,1,0.03872633390705693,1,0.027234042553191617,1,0.015138772077375906,1,0.04502164502164496,1,0.019425675675675658,1,-0.004946413849958864,0,0.014285714285714235,1,-0.03824701195219127,0
2003-02-05,-0.026512013256006606,0,-0.008438818565400852,0,-0.024896265560165998,0,0.04723707664884125,1,0.021739130434782705,1,-0.005922165820642977,0,-0.03292181069958855,0,0.021739130434782705,1,-0.018379281537176273,0
2003-02-06,0.018723404255319265,1,0.016129032258064724,1,0.030120481927710996,1,0.018723404255319265,1,-0.01074380165289246,0,0.04086956521739138,1,-0.012376237623762276,0,0.035467128027681705,1,0.007575757575757569,1
2003-02-07,-0.035923141186299246,0,-0.04391052195526102,0,-0.026160337552742607,0,-0.04232365145228234,0,-0.029436501261564496,0,0.019434628975264934,1,-0.04470198675496695,0,-0.06785137318255263,0,-0.02286198137171902,0
2003-02-10,0.03466204506065851,1,0.016170212765957315,1,0.013582342954159499,1,0.027538726333907082,1,0.06417112299465222,1,0.03826086956521735,1,0.011864406779660941,1,0.005050505050504972,1,-0.0050000000000000044,0
2003-02-11,-0.061976549413735316,0,-0.06432748538011712,0,-0.07207953603976813,0,-0.05485232067510548,0,-0.04680851063829794,0,-0.030303030303030387,0,-0.05405405405405406,0,-0.07666941467436117,0,-0.05882352941176483,0
2003-02-12,0.012499999999999956,1,-0.017331022530329254,0,-0.03489361702127658,0,-0.03735144312393879,0,-0.058921161825726154,0,-0.013913043478260834,0,-0.040609137055837574,0,-0.06666666666666665,0,-0.013913043478260834,0
2003-02-13,0.007054673721340388,1,-0.04355108877721936,0,-0.04594820384294074,0,-0.05385252692626352,0,-0.01721170395869187,0,-0.056198347107437985,0,-0.006956521739130417,0,-0.05775577557755773,0,-0.01211072664359869,0
2003-02-14,0.031523642732048884,1,0.051785714285714324,1,0.020797227036395194,1,0.002553191489361728,1,-0.005907172995780585,0,-0.00925147182506314,0,0.0406360424028267,1,-0.024834437086092787,0,-0.048465266558966213,0
2003-02-18,0.0016977928692700761,1,0.040564373897707284,1,-0.011725293132328174,0,-0.014202172096908883,0,0.0016977928692700761,1,0.051693404634581164,1,0.026086956521739202,1,0.0,1,-0.006734006734006703,0
